"GameId","WeekNumber","Team","PointsFor","PointsAgainst","CumPointsFor","CumPointsAgainst","PyExp","HomeWin","HomeTie","HomeLoss","tempPlayed","CumWins","CumLosses","CumTies","WinPct"
2015010,1,"MTL",17,20,17,20,0.404880596614025,0,0,1,1,0,1,0,0
2015015,2,"MTL",29,11,46,31,0.71815546276601,1,0,0,2,1,1,0,0.5
2015019,3,"MTL",23,25,69,56,0.621224514083537,0,0,1,3,1,2,0,0.333333333333333
2015022,4,"MTL",17,13,86,69,0.627608460741015,1,0,0,4,2,2,0,0.5
2015032,6,"MTL",22,25,108,94,0.581526353531843,0,0,1,5,2,3,0,0.4
2015035,7,"MTL",23,26,131,120,0.551779256260397,0,0,1,6,2,4,0,0.333333333333333
2015038,8,"MTL",12,15,143,135,0.534057319268784,0,0,1,7,2,5,0,0.285714285714286
2015042,9,"MTL",23,13,166,148,0.567588246323274,1,0,0,8,3,5,0,0.375
2015046,10,"MTL",26,23,192,171,0.568202564249735,1,0,0,9,4,5,0,0.444444444444444
2015050,11,"MTL",16,25,208,196,0.535150298016667,0,0,1,10,4,6,0,0.4
2015061,13,"MTL",35,14,243,210,0.585625602027103,1,0,0,11,5,6,0,0.454545454545455
2015065,14,"MTL",21,33,264,243,0.548953612330688,0,0,1,12,5,7,0,0.416666666666667
2015066,15,"MTL",17,39,281,282,0.497895214482153,0,0,1,13,5,8,0,0.384615384615385
2015074,16,"MTL",17,25,298,307,0.482377902200968,0,0,1,14,5,9,0,0.357142857142857
2015078,17,"MTL",11,23,309,330,0.461120952699231,0,0,1,15,5,10,0,0.333333333333333
2015079,18,"MTL",34,2,343,332,0.519303222066493,1,0,0,16,6,10,0,0.375
2015086,19,"MTL",22,40,365,372,0.488746474141576,0,0,1,17,6,11,0,0.352941176470588
2015090,20,"MTL",24,30,389,402,0.480532744323249,0,0,1,18,6,12,0,0.333333333333333
2015011,1,"CGY",24,23,24,23,0.525195213806193,1,0,0,1,1,0,0,1
2015015,2,"CGY",11,29,35,52,0.281249379664445,0,0,1,2,1,1,0,0.5
2015021,3,"CGY",25,20,60,72,0.39362448385534,1,0,0,3,2,1,0,0.666666666666667
2015025,4,"CGY",26,25,86,97,0.429164219455064,1,0,0,4,3,1,0,0.75
2015026,5,"CGY",26,29,112,126,0.430663208347031,0,0,1,5,3,2,0,0.6
2015032,6,"CGY",25,22,137,148,0.454367756751944,1,0,0,6,4,2,0,0.666666666666667
2015041,8,"CGY",48,3,185,151,0.618052464941021,1,0,0,7,5,2,0,0.714285714285714
2015044,9,"CGY",34,31,219,182,0.607926377727135,1,0,0,8,6,2,0,0.75
2015048,10,"CGY",36,8,255,190,0.667599427959255,1,0,0,9,7,2,0,0.777777777777778
2015053,11,"CGY",16,7,271,197,0.68044742998104,1,0,0,10,8,2,0,0.8
2015056,12,"CGY",16,27,287,224,0.64276186659746,0,0,1,11,8,3,0,0.727272727272727
2015058,13,"CGY",35,23,322,247,0.652134928064027,1,0,0,12,9,3,0,0.75
2015062,14,"CGY",25,23,347,270,0.644428995477287,1,0,0,13,10,3,0,0.769230769230769
2015067,15,"CGY",23,20,370,290,0.640465320242057,1,0,0,14,11,3,0,0.785714285714286
2015072,16,"CGY",11,15,381,305,0.628852135017001,0,0,1,15,11,4,0,0.733333333333333
2015076,17,"CGY",27,15,408,320,0.640096370307044,1,0,0,16,12,4,0,0.75
2015084,19,"CGY",42,19,450,339,0.661793410156511,1,0,0,17,13,4,0,0.764705882352941
2015089,20,"CGY",28,7,478,346,0.682637114550517,1,0,0,18,14,4,0,0.777777777777778
2015012,1,"TOR",26,11,26,11,0.88479848288806,1,0,0,1,1,0,0,1
2015017,2,"TOR",42,40,68,51,0.66414177276322,1,0,0,2,2,0,0,1
2015021,3,"TOR",20,25,88,76,0.585999131012352,0,0,1,3,2,1,0,0.666666666666667
2015027,5,"TOR",30,27,118,103,0.579863934947916,1,0,0,4,3,1,0,0.75
2015033,6,"TOR",18,34,136,137,0.495659430288645,0,0,1,5,3,2,0,0.6
2015036,7,"TOR",30,26,166,163,0.5108040886277,1,0,0,6,4,2,0,0.666666666666667
2015039,8,"TOR",27,20,193,183,0.531481690260091,1,0,0,7,5,2,0,0.714285714285714
2015045,9,"TOR",30,24,223,207,0.543999285818692,1,0,0,8,6,2,0,0.75
2015047,10,"TOR",15,38,238,245,0.482831636408545,0,0,1,9,6,3,0,0.666666666666667
2015052,11,"TOR",12,42,250,287,0.418943854500445,0,0,1,10,6,4,0,0.6
2015054,12,"TOR",27,35,277,322,0.41174273009419,0,0,1,11,6,5,0,0.545454545454545
2015064,14,"TOR",35,26,312,348,0.435658146746553,1,0,0,12,7,5,0,0.583333333333333
2015070,16,"TOR",38,35,350,383,0.446816606002281,1,0,0,13,8,5,0,0.615384615384615
2015074,16,"TOR",25,17,375,400,0.461835304480992,1,0,0,14,9,5,0,0.642857142857143
2015076,17,"TOR",15,27,390,427,0.44650296867084,0,0,1,15,9,6,0,0.6
2015079,18,"TOR",2,34,392,461,0.405099173966028,0,0,1,16,9,7,0,0.5625
2015083,19,"TOR",25,27,417,488,0.407904909338551,0,0,1,17,9,8,0,0.529411764705882
2015087,20,"TOR",21,11,438,499,0.42335454249596,1,0,0,18,10,8,0,0.555555555555556
